--- Report words in books/frankenstein.txt ---

7263 unique words found in file.

'a' was found 1449 times.
'abandon' was found 2 times.
'abandoned' was found 3 times.
'abbey' was found 1 times.
'abhor' was found 5 times.
'abhorred' was found 12 times.
'abhorrence' was found 6 times.
'abhorrent' was found 1 times.
'abide' was found 1 times.
'ability' was found 2 times.
'abject' was found 2 times.
'able' was found 9 times.
'aboard' was found 1 times.
'abode' was found 6 times.
'abortion' was found 1 times.
'abortive' was found 1 times.
'about' was found 61 times.
'above' was found 13 times.
'abroad' was found 3 times.
'abrupt' was found 1 times.
'absence' was found 8 times.
'absent' was found 6 times.
'absolute' was found 1 times.
'absolutely' was found 2 times.
'absolution' was found 1 times.
'absorbed' was found 2 times.
'absorbing' was found 1 times.
'abstained' was found 1 times.
'abstruse' was found 1 times.
'abyss' was found 1 times.
'acceded' was found 1 times.
'accent' was found 4 times.
'accents' was found 6 times.
'accept' was found 4 times.
'acceptance' was found 1 times.
'accepted' was found 2 times.
'accepting' was found 1 times.
'access' was found 12 times.
'accessed' was found 1 times.
'accessible' was found 1 times.
'accident' was found 6 times.
'accidentally' was found 1 times.
'accidents' was found 5 times.
'accompanied' was found 9 times.
'accompany' was found 6 times.
'accomplish' was found 2 times.
'accomplished' was found 2 times.
'accomplishment' was found 1 times.
'accomplishments' was found 1 times.
'accordance' was found 2 times.
'accorded' was found 2 times.
'according' was found 3 times.
'accordingly' was found 11 times.
'account' was found 21 times.
'accounted' was found 1 times.
'accounts' was found 3 times.
'accumulated' was found 4 times.
'accumulation' was found 2 times.
'accuracy' was found 2 times.
'accurate' was found 1 times.
'accursed' was found 4 times.
'accusation' was found 1 times.
'accusations' was found 1 times.
'accuse' was found 2 times.
'accused' was found 7 times.
'accuses' was found 1 times.
'accustomed' was found 10 times.
'achieve' was found 1 times.
'achieved' was found 1 times.
'achievements' was found 1 times.
'aching' was found 1 times.
'acknowledged' was found 1 times.
'acme' was found 1 times.
'acorns' was found 2 times.
'acquaintance' was found 1 times.
'acquaintances' was found 1 times.
'acquainted' was found 20 times.
'acquiesced' was found 1 times.
'acquire' was found 2 times.
'acquired' was found 3 times.
'acquirement' was found 2 times.
'acquiring' was found 1 times.
'acquisition' was found 1 times.
'acquit' was found 1 times.
'acquittal' was found 1 times.
'acquitted' was found 2 times.
'across' was found 17 times.
'act' was found 11 times.
'acted' was found 4 times.
'acting' was found 1 times.
'action' was found 5 times.
'actions' was found 4 times.
'active' was found 5 times.
'activity' was found 3 times.
'actor' was found 1 times.
'acts' was found 1 times.
'actual' was found 3 times.
'actually' was found 2 times.
'actuated' was found 1 times.
'acuteness' was found 1 times.
'adam' was found 3 times.
'adapt' was found 1 times.
'add' was found 4 times.
'added' was found 7 times.
'addition' was found 1 times.
'additional' was found 8 times.
'additions' was found 1 times.
'address' was found 4 times.
'addressed' was found 13 times.
'addresses' was found 1 times.
'adduced' was found 2 times.
'adequate' was found 2 times.
'adieu' was found 2 times.
'adjacent' was found 1 times.
'adjuration' was found 1 times.
'admirable' was found 3 times.
'admiration' was found 14 times.
'admire' was found 4 times.
'admired' was found 3 times.
'admission' was found 1 times.
'admit' was found 1 times.
'admittance' was found 1 times.
'adopted' was found 1 times.
'adoration' was found 1 times.
'adored' was found 3 times.
'adorned' was found 1 times.
'adorns' was found 1 times.
'adrift' was found 1 times.
'advance' was found 2 times.
'advanced' was found 13 times.
'advancement' was found 1 times.
'advancing' was found 4 times.
'advantage' was found 4 times.
'advantages' was found 2 times.
'adventure' was found 1 times.
'adventurer' was found 1 times.
'adventurous' was found 2 times.
'adversary' was found 7 times.
'adversity' was found 2 times.
'advice' was found 2 times.
'advise' was found 1 times.
'advocate' was found 1 times.
'aerial' was found 2 times.
'affability' was found 1 times.
'affair' was found 1 times.
'affairs' was found 2 times.
'affectation' was found 1 times.
'affected' was found 3 times.
'affecting' was found 2 times.
'affection' was found 40 times.
'affectionate' was found 7 times.
'affectionately' was found 1 times.
'affections' was found 8 times.
'affirm' was found 1 times.
'affirmative' was found 2 times.
'afflicted' was found 2 times.
'affluence' was found 1 times.
'afford' was found 10 times.
'afforded' was found 5 times.
'affording' was found 3 times.
'affords' was found 1 times.
'affright' was found 2 times.
'afraid' was found 1 times.
'africa' was found 1 times.
'after' was found 78 times.
'afternoon' was found 2 times.
'afterwards' was found 17 times.
'again' was found 83 times.
'against' was found 21 times.
'agatha' was found 22 times.
'age' was found 12 times.
'aged' was found 4 times.
'agent' was found 1 times.
'agents' was found 1 times.
'ages' was found 4 times.
'aggravation' was found 1 times.
'agile' was found 1 times.
'agitated' was found 7 times.
'agitates' was found 2 times.
'agitation' was found 14 times.
'ago' was found 7 times.
'agonies' was found 4 times.
'agonized' was found 1 times.
'agonizing' was found 2 times.
'agony' was found 26 times.
'agree' was found 10 times.
'agreeable' was found 5 times.
'agreed' was found 6 times.
'agreement' was found 18 times.
'agrippa' was found 8 times.
'ah' was found 7 times.
'aid' was found 10 times.
'aided' was found 2 times.
'aiguilles' was found 1 times.
'aim' was found 2 times.
'aimed' was found 1 times.
'air' was found 27 times.
'airs' was found 3 times.
'airy' was found 2 times.
'ak' was found 1 times.
'akin' was found 2 times.
'al' was found 2 times.
'alarm' was found 4 times.
'alarmed' was found 6 times.
'alarming' was found 1 times.
'alas' was found 20 times.
'albatross' was found 1 times.
'albertus' was found 3 times.
'alchemists' was found 2 times.
'alighted' was found 2 times.
'alighting' was found 1 times.
'alike' was found 3 times.
'alive' was found 9 times.
'all' was found 218 times.
'alleged' was found 1 times.
'alleging' was found 2 times.
'alleviate' was found 1 times.
'alleviated' was found 1 times.
'allied' was found 1 times.
'allotted' was found 1 times.
'allow' was found 14 times.
'allowed' was found 20 times.
'allowing' was found 1 times.
'alloy' was found 1 times.
'allude' was found 3 times.
'alluded' was found 1 times.
'allured' was found 2 times.
'allurements' was found 1 times.
'alluring' was found 1 times.
'allusion' was found 2 times.
'almighty' was found 1 times.
'almost' was found 40 times.
'alone' was found 45 times.
'along' was found 13 times.
'aloud' was found 6 times.
'alphonse' was found 1 times.
'alpine' was found 2 times.
'alps' was found 5 times.
'already' was found 33 times.
'also' was found 68 times.
'alter' was found 4 times.
'alteration' was found 6 times.
'alterations' was found 1 times.
'altered' was found 6 times.
'alternate' was found 2 times.
'although' was found 53 times.
'altogether' was found 1 times.
'always' was found 24 times.
'am' was found 126 times.
'amassed' was found 1 times.
'amazed' was found 1 times.
'amazing' was found 1 times.
'ambition' was found 8 times.
'ameliorate' was found 1 times.
'amend' was found 1 times.
'america' was found 3 times.
'american' was found 1 times.
'amiable' was found 14 times.
'amid' was found 1 times.
'amidst' was found 8 times.
'among' was found 51 times.
'amongst' was found 1 times.
'amounted' was found 2 times.
'amphitheatre' was found 1 times.
'ample' was found 2 times.
'amuse' was found 2 times.
'amused' was found 1 times.
'amusement' was found 6 times.
'amusements' was found 1 times.
'an' was found 215 times.
'analysing' was found 1 times.
'analysis' was found 1 times.
'anatomize' was found 1 times.
'anatomy' was found 1 times.
'ancestors' was found 1 times.
'anchor' was found 1 times.
'ancient' was found 10 times.
'and' was found 3046 times.
'andes' was found 1 times.
'andrew' was found 1 times.
'anew' was found 3 times.
'angel' was found 9 times.
'angelic' was found 3 times.
'angelica' was found 1 times.
'anger' was found 5 times.
'angrily' was found 1 times.
'angry' was found 2 times.
'anguish' was found 24 times.
